Register,PassiveType,Aux,PP
Written,BE-pp,been,approved
Written,BE-pp,is,approved
Written,BE-pp,is,approved
Written,BE-pp,was,approved
Written,BE-pp,be,approved
Written,BE-pp,is,approved
Written,BE-pp,is,approved
Written,BE-pp,be,approved
Written,BE-pp,be,approved
Written,BE-pp,were,approved
Written,BE-pp,was,approved
Written,BE-pp,was,approved
Written,BE-pp,be,approved
Written,BE-pp,been,approved
Written,BE-pp,be,approved
Written,BE-pp,was,approved
Written,BE-pp,are,approved
Written,BE-pp,be,argued
Written,BE-pp,being,argued
Written,BE-pp,be,argued
Written,BE-pp,be,argued
Written,BE-pp,were,armed
Written,BE-pp,were,armed
Written,BE-pp,be,armed
Written,BE-pp,were,armed
Written,BE-pp,are,armed
Written,BE-pp,were,armed
Written,BE-pp,are,armed
Written,BE-pp,was,arraigned
Written,BE-pp,been,arraigned
Written,BE-pp,be,arranged
Written,BE-pp,is,arranged
Written,BE-pp,are,arranged
Written,BE-pp,are,arranged
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,being,arrested
Written,BE-pp,being,arrested
Written,BE-pp,were,arrested
Written,BE-pp,been,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,being,arrested
Written,BE-pp,being,arrested
Written,BE-pp,were,arrested
Written,BE-pp,been,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,being,arrested
Written,BE-pp,were,arrested
Written,BE-pp,been,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,been,arrested
Written,BE-pp,being,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
