Register,PassiveType,Aux,PP,Sentiment
Written,BE-pp,was,approached,0.0
Written,BE-pp,was,approached,0.0
Written,BE-pp,be,approached,0.0
Written,BE-pp,been,approached,0.0
Written,BE-pp,was,approached,0.0
Written,BE-pp,been,approached,0.0
Written,BE-pp,is,approved,0.4215
Written,BE-pp,were,approved,0.4215
Written,BE-pp,are,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,was,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,was,approved,0.4215
Written,BE-pp,been,approved,0.4215
Written,BE-pp,is,approved,0.4215
Written,BE-pp,is,approved,0.4215
Written,BE-pp,was,approved,0.4215
Written,BE-pp,be,approved,0.4215
